wavelength,illuminantC,xBar,yBar,zBar
493,118.42,0.020687,0.2368571,0.3938822
494,117.66,0.0175404,0.2474812,0.3729459
495,116.9,0.0147,0.2586,0.3533
496,115.94,0.01216179,0.2701849,0.3348578
497,114.98,0.00991996,0.2822939,0.3175521
498,114.02,0.00796724,0.2950505,0.3013375
499,113.06,0.006296346,0.308578,0.2861686
500,112.1,0.0049,0.323,0.272
501,111.076,0.003777173,0.3384021,0.2588171
502,110.052,0.00294532,0.3546858,0.2464838
503,109.028,0.00242488,0.3716986,0.2347718
504,108.004,0.002236293,0.3892875,0.2234533
505,106.98,0.0024,0.4073,0.2123
506,106.044,0.00292552,0.4256299,0.2011692
507,105.108,0.00383656,0.4443096,0.1901196
508,104.172,0.00517484,0.4633944,0.1792254
509,103.236,0.00698208,0.4829395,0.1685608
510,102.3,0.0093,0.503,0.1582
511,101.602,0.01214949,0.5235693,0.1481383
512,100.904,0.01553588,0.544512,0.1383758
513,100.206,0.01947752,0.56569,0.1289942
514,99.508,0.02399277,0.5869653,0.1200751
515,98.81,0.0291,0.6082,0.1117
516,98.428,0.03481485,0.6293456,0.1039048
517,98.046,0.04112016,0.6503068,0.09666748
518,97.664,0.04798504,0.6708752,0.08998272
519,97.282,0.05537861,0.6908424,0.08384531
520,96.9,0.06327,0.71,0.07824999
521,96.876,0.07163501,0.7281852,0.07320899
522,96.852,0.08046224,0.7454636,0.06867816
523,96.828,0.08973996,0.7619694,0.06456784
524,96.804,0.09945645,0.7778368,0.06078835
525,96.78,0.1096,0.7932,0.05725001
526,97.024,0.1201674,0.8081104,0.05390435
527,97.268,0.1311145,0.8224962,0.05074664
528,97.512,0.1423679,0.8363068,0.04775276
529,97.756,0.1538542,0.8494916,0.04489859
530,98,0.1655,0.862,0.04216
531,98.388,0.1772571,0.8738108,0.03950728
532,98.776,0.18914,0.8849624,0.03693564
533,99.164,0.2011694,0.8954936,0.03445836
534,99.552,0.2133658,0.9054432,0.03208872
535,99.94,0.2257499,0.9148501,0.02984
536,100.372,0.2383209,0.9237348,0.02771181
537,100.804,0.2510668,0.9320924,0.02569444
538,101.236,0.2639922,0.9399226,0.02378716
539,101.668,0.2771017,0.9472252,0.02198925
540,102.1,0.2904,0.954,0.0203
541,102.47,0.3038912,0.9602561,0.01871805
542,102.84,0.3175726,0.9660074,0.01724036
543,103.21,0.3314384,0.9712606,0.01586364
544,103.58,0.3454828,0.9760225,0.01458461
545,103.95,0.3597,0.9803,0.0134
546,104.2,0.3740839,0.9840924,0.01230723
547,104.45,0.3886396,0.9874182,0.01130188
548,104.7,0.4033784,0.9903128,0.01037792
549,104.95,0.4183115,0.9928116,0.009529306
550,105.2,0.4334499,0.9949501,0.008749999
551,105.294,0.4487953,0.9967108,0.0080352
552,105.388,0.464336,0.9980983,0.0073816
553,105.482,0.480064,0.999112,0.0067854
554,105.576,0.4959713,0.9997482,0.0062428
555,105.67,0.5120501,1,0.005749999
